team,match_key,player_key
Delhi Capitals,1304065,SKn3537
Delhi Capitals,1304065,KYv289
Delhi Capitals,1304065,MRn830
Delhi Capitals,1304065,KAd1449
Kolkata Knight Riders,1304065,ARe1184
Kolkata Knight Riders,1304065,VIr2222
Kolkata Knight Riders,1304065,SIr720
Kolkata Knight Riders,1304065,NRa286
Kolkata Knight Riders,1304065,ARl347
Kolkata Knight Riders,1304065,SBs162
Kolkata Knight Riders,1304065,PCs1040
Kolkata Knight Riders,1304065,SNe348
Kolkata Knight Riders,1304065,UYv970
Kolkata Knight Riders,1304065,RSm3460
Kolkata Knight Riders,1304065,CVn292
Royal Challengers Bangalore,1304073,FdPs439
Royal Challengers Bangalore,1304073,ARt3591
Royal Challengers Bangalore,1304073,VKi607
Royal Challengers Bangalore,1304073,GMl156
Royal Challengers Bangalore,1304073,SPi3592
Royal Challengers Bangalore,1304073,SAd3567
Royal Challengers Bangalore,1304073,KKk967
Royal Challengers Bangalore,1304073,PdSa297
Royal Challengers Bangalore,1304073,MSj971
Royal Challengers Bangalore,1304073,HPl969
Royal Challengers Bangalore,1304073,JHd840
Delhi Capitals,1304073,PSw2107
Delhi Capitals,1304073,DWr168
Delhi Capitals,1304073,MMh835
Delhi Capitals,1304073,RPt945
Delhi Capitals,1304073,RPl516
Delhi Capitals,1304073,LYv3543
Delhi Capitals,1304073,STr1381
Delhi Capitals,1304073,APl721
Delhi Capitals,1304073,KYv289
Delhi Capitals,1304073,MRn830
Delhi Capitals,1304073,KAd1449
Royal Challengers Bangalore,1304049,FdPs439
Royal Challengers Bangalore,1304049,ARt3591
Royal Challengers Bangalore,1304049,VKi607
Royal Challengers Bangalore,1304049,KKk967
Royal Challengers Bangalore,1304049,SRd893
Royal Challengers Bangalore,1304049,DWy163
Royal Challengers Bangalore,1304049,SAd3567
Royal Challengers Bangalore,1304049,PdSa297
Royal Challengers Bangalore,1304049,HPl969
Royal Challengers Bangalore,1304049,MSj971
Royal Challengers Bangalore,1304049,ADp3604
Punjab Kings,1304049,MAl3458
Punjab Kings,1304049,SDn283
Punjab Kings,1304049,PRa382
Punjab Kings,1304049,LLe1627
Punjab Kings,1304049,RBa3605
Punjab Kings,1304049,MSKn3473
Punjab Kings,1304049,OSh987
Punjab Kings,1304049,HBr3528
Punjab Kings,1304049,ASh1994
Punjab Kings,1304049,SSa1444
Punjab Kings,1304049,RCr290
Mumbai Indians,1304048,RSa605
Mumbai Indians,1304048,IKn1380
Mumbai Indians,1304048,ASh3510
Mumbai Indians,1304048,TVa3475
Mumbai Indians,1304048,KPd513
Mumbai Indians,1304048,TDd1363
Mumbai Indians,1304048,DSs1552
Mumbai Indians,1304048,MAn3471
Mumbai Indians,1304048,TMs479
Mumbai Indians,1304048,JBh724
Mumbai Indians,1304048,BTi3476
Delhi Capitals,1304048,PSw2107
Delhi Capitals,1304048,TSt1402
Delhi Capitals,1304048,MSh2332
Delhi Capitals,1304048,RPt945
Delhi Capitals,1304048,LYv3543
Delhi Capitals,1304048,RPl516
Delhi Capitals,1304048,STr1381
Delhi Capitals,1304048,APl721
Delhi Capitals,1304048,KYv289
Delhi Capitals,1304048,KAd1449
Delhi Capitals,1304048,KNi3534
Lucknow Super Giants,1304072,KRl943
Lucknow Super Giants,1304072,QdKk597
Lucknow Super Giants,1304072,MPy915
Lucknow Super Giants,1304072,MSs171
Lucknow Super Giants,1304072,DHa1844
Lucknow Super Giants,1304072,KPa1178
