city,venue,mapped_venue
Kimberley,"Diamond Oval, Kimberley","Diamond Oval, Kimberley, Kimberley"
Melbourne,Docklands Stadium,"Docklands Stadium, Melbourne"
Melbourne,"Docklands Stadium, Melbourne","Docklands Stadium, Melbourne"
Mumbai,Dr DY Patil Sports Academy,"Dr DY Patil Sports Academy, Mumbai"
Navi Mumbai,"Dr DY Patil Sports Academy, Mumbai","Dr DY Patil Sports Academy, Mumbai"
Mumbai,"Dr DY Patil Sports Academy, Mumbai","Dr DY Patil Sports Academy, Mumbai"
Visakhapatnam,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
Visakhapatnam,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam"
Dubai,Dubai International Cricket Stadium,"Dubai International Cricket Stadium, Dubai"
,Dubai International Cricket Stadium,"Dubai International Cricket Stadium, Dubai"
Kolkata,Eden Gardens,"Eden Gardens, Kolkata"
Kolkata,"Eden Gardens, Kolkata","Eden Gardens, Kolkata"
Auckland,Eden Park,"Eden Park, Auckland"
Auckland,Eden Park Outer Oval,"Eden Park Outer Oval, Auckland"
Auckland,"Eden Park Outer Oval, Auckland","Eden Park Outer Oval, Auckland"
Auckland,"Eden Park, Auckland","Eden Park, Auckland"
Birmingham,Edgbaston,"Edgbaston, Birmingham"
Birmingham,"Edgbaston, Birmingham","Edgbaston, Birmingham"
Entebbe,Entebbe Cricket Oval,"Entebbe Cricket Oval, Entebbe"
Delhi,Feroz Shah Kotla,"Feroz Shah Kotla, Delhi"
Palmerston North,"Fitzherbert Park, Palmerston North","Fitzherbert Park, Palmerston North"
Lahore,Gaddafi Stadium,"Gaddafi Stadium, Lahore"
Lahore,"Gaddafi Stadium, Lahore","Gaddafi Stadium, Lahore"
Kigali City,Gahanga International Cricket Stadium. Rwanda,Gahanga International Cricket Stadium. Rwanda
Geelong,Geelong Cricket Ground,"Geelong Cricket Ground, Geelong"
Geelong,"GMHBA Stadium, South Geelong, Victoria","GMHBA Stadium, South Geelong, Victoria"
Leicester,Grace Road,"Grace Road, Leicester"
Leicester,"Grace Road, Leicester","Grace Road, Leicester"
Edinburgh,"Grange Cricket Club Ground, Raeburn Place","Grange Cricket Club, Raeburn Place, Edinburgh"
Edinburgh,"Grange Cricket Club Ground, Raeburn Place, Edinburgh","Grange Cricket Club, Raeburn Place, Edinburgh"
Edinburgh,"Grange Cricket Club, Raeburn Place","Grange Cricket Club, Raeburn Place, Edinburgh"
Greater Noida,Greater Noida Sports Complex Ground,"Greater Noida Sports Complex Ground, Greater Noida"
Kanpur,Green Park,"Green Park, Kanpur"
Thiruvananthapuram,Greenfield International Stadium,"Greenfield International Stadium, Thiruvananthapuram"
Thiruvananthapuram,"Greenfield International Stadium, Thiruvananthapuram","Greenfield International Stadium, Thiruvananthapuram"
Albergaria,Gucherre Cricket Ground,"Gucherre Cricket Ground, Albergaria"
Nairobi,Gymkhana Club Ground,"Gymkhana Club Ground, Nairobi"
Nairobi,"Gymkhana Club Ground, Nairobi","Gymkhana Club Ground, Nairobi"
Christchurch,Hagley Oval,"Hagley Oval, Christchurch"
Christchurch,"Hagley Oval, Christchurch","Hagley Oval, Christchurch"
Episkopi,Happy Valley Ground,"Happy Valley Ground, Episkopi"
,Harare Sports Club,"Harare Sports Club, Harare"
Harare,Harare Sports Club,"Harare Sports Club, Harare"
Rotterdam,Hazelaarweg,"Hazelaarweg, Rotterdam"
Leeds,Headingley,"Headingley, Leeds"
Leeds,"Headingley, Leeds","Headingley, Leeds"
Dharamsala,Himachal Pradesh Cricket Association Stadium,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
Dharmasala,Himachal Pradesh Cricket Association Stadium,"Himachal Pradesh Cricket Association Stadium, Dharamsala"
Dharamsala,"Himachal Pradesh Cricket Association Stadium, Dharamsala","Himachal Pradesh Cricket Association Stadium, Dharamsala"
Indore,Holkar Cricket Stadium,"Holkar Cricket Stadium, Indore"
Indore,"Holkar Cricket Stadium, Indore","Holkar Cricket Stadium, Indore"
Dubai,ICC Academy,"ICC Academy, Dubai"
Dubai,ICC Academy Ground No 2,"ICC Academy, Dubai"
Dubai,"ICC Academy, Dubai","ICC Academy, Dubai"
Dubai,ICC Global Cricket Academy,"ICC Academy, Dubai"
Port Vila,"Independence Park, Port Vila","Independence Park, Port Vila, Port Vila"
Singapore,Indian Association Ground,"Indian Association Ground, Singapore"
Singapore,"Indian Association Ground, Singapore","Indian Association Ground, Singapore"
Kigali City,Integrated Polytechnic Regional Centre,"Integrated Polytechnic Regional Centre, Kigali City"
Coffs Harbour,International Sports Stadium,"International Sports Stadium, Coffs Harbour"
Coffs Harbour,"International Sports Stadium, Coffs Harbour","International Sports Stadium, Coffs Harbour"
Christchurch,Jade Stadium,"Jade Stadium, Christchurch"
Queenstown,"John Davies Oval, Queenstown","John Davies Oval, Queenstown, Queenstown"
Ranchi,JSCA International Stadium Complex,"JSCA International Stadium Complex, Ranchi"
Ranchi,"JSCA International Stadium Complex, Ranchi","JSCA International Stadium Complex, Ranchi"
Melbourne,"Junction Oval, Melbourne","Junction Oval, Melbourne, Melbourne"
London,Kennington Oval,"Kennington Oval, London"
London,"Kennington Oval, London","Kennington Oval, London"
Barbados,"Kensington Oval, Bridgetown","Kensington Oval, Bridgetown"
Bridgetown,"Kensington Oval, Bridgetown, Barbados","Kensington Oval, Bridgetown"
Beckenham,Kent County Cricket Ground,"Kent County Cricket Ground, Beckenham"
Kerava,Kerava National Cricket Ground,"Kerava National Cricket Ground, Kerava"
Fatullah,Khan Shaheb Osman Ali Stadium,"Khan Shaheb Osman Ali Stadium, Fatullah"
Castel,King George V Sports Ground,"King George V Sports Ground, Castel"
Durban,Kingsmead,"Kingsmead, Durban"
Durban,"Kingsmead, Durban","Kingsmead, Durban"
Kuala Lumpur,Kinrara Academy Oval,"Kinrara Academy Oval, Kuala Lumpur"
Kampala,Kyambogo Cricket Oval,"Kyambogo Cricket Oval, Kampala"
Murcia,La Manga Club Bottom Ground,"La Manga Club Bottom Ground, Murcia"
Belgrade,Lisicji Jarak Cricket Ground,"Lisicji Jarak Cricket Ground, Belgrade"
London,Lord's,"Lord's, London"
London,"Lord's, London","Lord's, London"
Kampala,Lugogo Cricket Oval,"Lugogo Cricket Oval, Kampala"
Bangalore,M Chinnaswamy Stadium,"M Chinnaswamy Stadium, Bangalore"
Bengaluru,"M Chinnaswamy Stadium, Bangalore","M Chinnaswamy Stadium, Bangalore"
Bengaluru,M.Chinnaswamy Stadium,"M Chinnaswamy Stadium, Bangalore"
Chattogram,"MA Aziz Stadium, Chittagong","MA Aziz Stadium, Chittagong, Chattogram"
Chennai,MA Chidambaram Stadium,"MA Chidambaram Stadium, Chennai"
Chennai,"MA Chidambaram Stadium, Chepauk","MA Chidambaram Stadium, Chennai"
Chennai,"MA Chidambaram Stadium, Chepauk, Chennai","MA Chidambaram Stadium, Chennai"
Pune,Maharashtra Cricket Association Stadium,"Maharashtra Cricket Association Stadium, Pune"
Pune,"Maharashtra Cricket Association Stadium, Pune","Maharashtra Cricket Association Stadium, Pune"
Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
Hambantota,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa, Hambantota","Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa"
Rangiora,Mainpower Oval,"Mainpower Oval, Rangiora"
Bloemfontein,Mangaung Oval,"Mangaung Oval, Bloemfontein"
Bloemfontein,"Mangaung Oval, Bloemfontein","Mangaung Oval, Bloemfontein"
Canberra,Manuka Oval,"Manuka Oval, Canberra"
Canberra,"Manuka Oval, Canberra","Manuka Oval, Canberra"
King City,Maple Leaf North-West Ground,"Maple Leaf North-West Ground, King City"
Marsa,Marsa Sports Club,"Marsa Sports Club, Marsa"
Napier,McLean Park,"McLean Park, Napier"
Napier,"McLean Park, Napier","McLean Park, Napier"
Ghent,"Meersen, Gent","Meersen, Gent, Ghent"
,Melbourne Cricket Ground,"Melbourne Cricket Ground, Melbourne"
Melbourne,Melbourne Cricket Ground,"Melbourne Cricket Ground, Melbourne"
Northwood,Merchant Taylors' School Ground,"Merchant Taylors' School Ground, Northwood"
Hong Kong,"Mission Road Ground, Mong Kok","Mission Road Ground, Mong Kok, Hong Kong"
,Moara Vlasiei Cricket Ground,"Moara Vlasiei Cricket Ground, Ilfov County, Ilfov County"
Ilfov County,"Moara Vlasiei Cricket Ground, Ilfov County","Moara Vlasiei Cricket Ground, Ilfov County, Ilfov County"
Alexandra,Molyneux Park,"Molyneux Park, Alexandra"
,Mombasa Sports Club Ground,"Mombasa Sports Club Ground, "
Durban,Moses Mabhida Stadium,"Moses Mabhida Stadium, Durban"
Multan,Multan Cricket Stadium,"Multan Cricket Stadium, Multan"
Ahmedabad,Narendra Modi Stadium,"Narendra Modi Stadium, Ahmedabad"
Ahmedabad,"Narendra Modi Stadium, Ahmedabad","Narendra Modi Stadium, Ahmedabad"
St George's,"National Cricket Stadium, Grenada","National Cricket Stadium, Grenada, St George's"
Grenada,"National Cricket Stadium, St George's","National Cricket Stadium, Grenada, St George's"
St George's,"National Cricket Stadium, St George's, Grenada","National Cricket Stadium, Grenada, St George's"
